time (s),speed (mm/s),duty cycle (%)
3.790855407714844e-05,0.0,0
0.0007948875427246094,0.0,0
0.020793914794921875,0.0,0
0.04076886177062988,0.0,0
0.060791969299316406,0.0,0
0.08079099655151367,0.0,0
0.10079383850097656,0.0,0
0.12072896957397461,0.0,0
0.1407759189605713,0.0,0
0.16065382957458496,0.0,0
0.18059682846069336,0.0,0
0.20056581497192383,0.0,0
0.22057390213012695,0.0,0
0.24056100845336914,0.0,0
0.2606239318847656,0.0,0
0.28060388565063477,0.0,0
0.30055785179138184,0.0,0
0.3205678462982178,0.0,0
0.34096479415893555,0.0,0
0.36077094078063965,0.0,0
0.3806498050689697,0.0,0
0.4006028175354004,0.0,0
0.4205758571624756,0.0,0
0.4405629634857178,0.0,0
0.46059489250183105,0.0,0
0.480571985244751,0.0,0
0.5014829635620117,0.0,0
0.5206708908081055,0.0,0
0.5405778884887695,0.0,0
0.56076979637146,0.0,0
0.5807268619537354,0.0,0
0.6005868911743164,0.0,0
0.6205558776855469,0.0,0
0.6405479907989502,0.0,0
0.6605818271636963,0.0,0
0.6805629730224609,0.0,0
0.7005469799041748,0.0,0
0.7205448150634766,0.0,0
0.7405428886413574,0.0,0
0.7605788707733154,0.0,0
0.7805588245391846,0.0,0
0.8005468845367432,0.0,0
0.8205509185791016,0.0,0
0.8405468463897705,0.0,0
0.860569953918457,0.0,0
0.8805577754974365,0.0,0
0.9005458354949951,0.0,0
0.9205448627471924,0.0,0
0.940544843673706,0.0,0
0.9605679512023926,0.0,0
0.980557918548584,0.0,0
1.0005488395690918,0.0,0
1.0205450057983398,0.0,0
1.040543794631958,0.0,0
1.0607268810272217,0.0,0
1.0806078910827637,0.0,0
1.1021759510040283,0.0,0
1.12087082862854,0.0,0
1.140575885772705,0.0,0
1.1605758666992188,0.0,0
1.180562973022461,0.0,0
1.2005488872528076,0.0,0
1.2205488681793213,0.0,0
1.2405478954315186,0.0,0
1.2605819702148438,0.0,0
1.2805588245391846,0.0,0
1.300550937652588,0.0,0
1.3205509185791016,0.0,0
1.3405499458312988,0.0,0
1.3607017993927002,0.0,0
1.3805949687957764,0.0,0
1.4005539417266846,0.0,0
1.420712947845459,0.0,0
1.4405899047851562,0.0,0
1.4606080055236816,0.0,0
1.4805757999420166,0.0,0
1.5005519390106201,0.0,0
1.5205538272857666,0.0,0
1.54054594039917,0.0,0
1.5607099533081055,0.0,0
1.5806348323822021,0.0,0
1.6005709171295166,0.0,0
1.620560884475708,0.0,0
1.6405479907989502,0.0,0
1.6605749130249023,0.0,0
1.680562973022461,0.0,0
1.7005479335784912,0.0,0
1.7208027839660645,0.0,0
1.7405920028686523,0.0,0
1.760591983795166,0.0,0
1.7805709838867188,0.0,0
1.8005549907684326,0.0,0
1.8205509185791016,0.0,0
1.8405468463897705,0.0,0
1.8605749607086182,0.0,0
1.8805558681488037,0.0,0
1.900547981262207,0.0,0
1.9205458164215088,0.0,0
1.9405438899993896,0.0,0
1.9605679512023926,0.0,0
1.9805560111999512,0.0,0
2.000546932220459,0.0,0
2.020547866821289,0.0,0
2.040543794631958,0.0,0
2.060734987258911,0.0,0
2.0806148052215576,0.0,0
2.100566864013672,0.0,0
2.1205618381500244,0.0,0
2.14058780670166,0.0,0
2.160601854324341,0.0,0
2.1805648803710938,0.0,0
2.200549840927124,0.0,0
2.2205469608306885,0.0,0
2.2405459880828857,0.0,0
2.260586977005005,0.0,0
2.280561923980713,0.0,0
2.300546884536743,0.0,0
2.320697784423828,0.0,0
2.3405978679656982,0.0,0
2.36075496673584,0.0,0
2.3806397914886475,0.0,0
2.4005727767944336,0.0,0
2.4205548763275146,0.0,0
2.440546989440918,0.0,0
2.460580825805664,0.0,0
2.480562925338745,0.0,0
2.5005459785461426,0.0,0
2.520547866821289,0.0,0
2.5405449867248535,0.0,0
2.560748815536499,0.0,0
2.5806448459625244,0.0,0
2.600576877593994,0.0,0
2.620555877685547,0.0,0
2.6405489444732666,0.0,0
2.660587787628174,0.0,0
2.6805598735809326,0.0,0
2.7005488872528076,0.0,0
2.720546007156372,0.0,0
2.740543842315674,0.0,0
2.760586977005005,0.0,0
2.7805678844451904,0.0,0
2.8005619049072266,0.0,0
2.8205549716949463,0.0,0
2.8405449390411377,0.0,0
2.860581874847412,0.0,0
2.8805577754974365,0.0,0
2.90054988861084,0.0,0
2.9209089279174805,0.0,0
2.9406309127807617,0.0,0
2.960617780685425,0.0,0
2.980571985244751,0.0,0
3.0005548000335693,0.0,0
3.020549774169922,0.0,0
3.0405428409576416,0.0,0
3.0609188079833984,0.0,0
3.0806798934936523,0.0,0
3.100588798522949,0.0,0
3.1205568313598633,0.0,0
3.1405727863311768,0.0,0
3.1606287956237793,0.0,0
3.180560827255249,0.0,0
3.2005488872528076,0.0,0
3.220547914505005,0.0,0
3.2405447959899902,0.0,0
3.2606329917907715,0.0,0
3.280564785003662,0.0,0
3.300548791885376,0.0,0
3.3205459117889404,0.0,0
3.3405468463897705,0.0,0
3.36077880859375,0.0,0
3.380605936050415,0.0,0
3.4005608558654785,0.0,0
3.4205548763275146,0.0,0
3.4405479431152344,0.0,0
3.4606359004974365,0.0,0
3.480585813522339,0.0,0
3.5005548000335693,0.0,0
3.520699977874756,0.0,0
3.540620803833008,0.0,0
3.5607237815856934,0.0,0
3.5807077884674072,0.0,0
3.6005918979644775,0.0,0
3.6205708980560303,0.0,0
3.640570878982544,0.0,0
3.6606719493865967,0.0,0
3.680614948272705,0.0,0
3.700563907623291,0.0,0
3.7205557823181152,0.0,0
3.7405738830566406,0.0,0
3.7605769634246826,0.0,0
3.7805628776550293,0.0,0
3.8005499839782715,0.0,0
3.820551872253418,0.0,0
3.8405449390411377,0.0,0
3.860567808151245,0.0,0
3.8805599212646484,0.0,0
3.9005489349365234,0.0,0
3.9205479621887207,0.0,0
3.940541982650757,0.0,0
3.9605658054351807,0.0,0
3.980559825897217,0.0,0
4.000546932220459,0.0,0
4.0205769538879395,0.0,0
4.0405659675598145,0.0,0
4.060702800750732,0.0,0
4.080691814422607,0.0,0
4.1005859375,0.0,0
4.120673894882202,0.0,0
4.140580892562866,0.0,0
4.160586833953857,0.0,0
4.180570840835571,0.0,0
4.200551986694336,0.0,0
4.220548868179321,0.0,0
4.240543842315674,0.0,0
4.260574817657471,0.0,0
4.280561923980713,0.0,0
4.30054783821106,0.0,0
4.320547819137573,0.0,0
4.340544939041138,0.0,0
4.360653877258301,0.0,0
4.380672931671143,0.0,0
4.400582790374756,0.0,0
4.4205567836761475,0.0,0
4.440564870834351,0.0,0
4.460559844970703,0.0,0
4.480556011199951,0.0,0
4.500544786453247,0.0,0
4.520546913146973,0.0,0
4.540547847747803,0.0,0
4.560726881027222,0.0,0
4.580689907073975,0.0,0
4.6005859375,0.0,0
4.6205527782440186,0.0,0
4.64054799079895,0.0,0
4.660547971725464,0.0,0
4.680553913116455,0.0,0
4.700544834136963,0.0,0
4.720669984817505,0.0,0
4.74060583114624,0.0,0
4.760583877563477,0.0,0
4.780561923980713,0.0,0
4.80054783821106,0.0,0
4.820549011230469,0.0,0
4.840552806854248,0.0,0
4.8605499267578125,0.0,0
4.880551815032959,0.0,0
4.900547981262207,0.0,0
4.920545816421509,0.0,0
4.94054388999939,0.0,0
4.960554838180542,0.0,0
4.9805498123168945,0.0,0
5.000545978546143,0.0,0
5.020550966262817,0.0,0
5.0405449867248535,0.0,0
5.060716867446899,0.0,0
5.080688953399658,0.0,0
5.100600957870483,0.0,0
5.120571851730347,0.0,0
5.1405558586120605,0.0,0
5.160587787628174,0.0,0
5.1805579662323,0.0,0
