time (s),speed (mm/s),duty cycle (%)
3.314018249511719e-05,0.0,0
0.0007500648498535156,0.0,0
0.020756959915161133,0.0,0
0.04072403907775879,0.0,0
0.06063413619995117,0.0,0
0.08062195777893066,0.0,0
0.10063505172729492,0.0,0
0.1208651065826416,0.0,0
0.140610933303833,0.0,0
0.16059207916259766,0.0,0
0.18061208724975586,0.0,0
0.20061993598937988,0.0,0
0.22076106071472168,0.0,0
0.2406010627746582,0.0,0
0.2606010437011719,0.0,0
0.28060293197631836,0.0,0
0.3006119728088379,0.0,0
0.32065701484680176,0.0,0
0.34085702896118164,0.0,0
0.360659122467041,0.0,0
0.380687952041626,0.0,0
0.4006960391998291,0.0,0
0.42064905166625977,0.0,0
0.44060397148132324,0.0,0
0.4607210159301758,0.0,0
0.48076701164245605,0.0,0
0.5007109642028809,0.0,0
0.5207829475402832,0.0,0
0.5406420230865479,0.0,0
0.5607450008392334,0.0,0
0.5806910991668701,0.0,0
0.6006929874420166,0.0,0
0.6206440925598145,0.0,0
0.6407511234283447,0.0,0
0.6607069969177246,0.0,0
0.6806459426879883,0.0,0
0.7006680965423584,0.0,0
0.7207040786743164,0.0,0
0.7406280040740967,0.0,0
0.7605900764465332,0.0,0
0.7807250022888184,0.0,0
0.8007221221923828,0.0,0
0.8206520080566406,0.0,0
0.8406429290771484,0.0,0
0.8606021404266357,0.0,0
0.8806140422821045,0.0,0
0.9006271362304688,0.0,0
0.9206421375274658,0.0,0
0.9406249523162842,0.0,0
0.9606049060821533,0.0,0
0.980755090713501,0.0,0
1.0007200241088867,0.0,0
1.0206570625305176,0.0,0
1.040653944015503,0.0,0
1.0613110065460205,0.0,0
1.0807170867919922,0.0,0
1.1006579399108887,0.0,0
1.1206519603729248,0.0,0
1.1407270431518555,0.0,0
1.1606769561767578,0.0,0
1.1806399822235107,0.0,0
1.200659990310669,0.0,0
1.2207000255584717,0.0,0
1.240713119506836,0.0,0
1.2606871128082275,0.0,0
1.2806150913238525,0.0,0
1.3006250858306885,0.0,0
1.320605993270874,0.0,0
1.3406009674072266,0.0,0
1.3605821132659912,0.0,0
1.3806021213531494,0.0,0
1.4006800651550293,0.0,0
1.4207229614257812,0.0,0
1.4406349658966064,0.0,0
1.460603952407837,0.0,0
1.481619119644165,0.0,0
1.5006680488586426,0.0,0
1.5207040309906006,0.0,0
1.5406250953674316,0.0,0
1.560723066329956,0.0,0
1.5807640552520752,0.0,0
1.6006879806518555,0.0,0
1.6207170486450195,0.0,0
1.6406190395355225,0.0,0
1.6606950759887695,0.0,0
1.6806600093841553,0.0,0
1.7006609439849854,0.0,0
1.7206759452819824,0.0,0
1.7406890392303467,0.0,0
1.7606759071350098,0.0,0
1.7806200981140137,0.0,0
1.8006420135498047,0.0,0
1.8206191062927246,0.0,0
1.8406140804290771,0.0,0
1.8605859279632568,0.0,0
1.880600929260254,0.0,0
1.900623083114624,0.0,0
1.9206440448760986,0.0,0
1.9406170845031738,0.0,0
1.9605889320373535,0.0,0
1.9807460308074951,0.0,0
2.000653028488159,0.0,0
2.020648956298828,0.0,0
2.0406479835510254,0.0,0
2.060600996017456,0.0,0
2.080604076385498,0.0,0
2.1006150245666504,0.0,0
2.120620012283325,0.0,0
2.140619993209839,0.0,0
2.1605920791625977,0.0,0
2.1805930137634277,0.0,0
2.2006499767303467,0.0,0
2.2206339836120605,0.0,0
2.240626096725464,0.0,0
2.260715961456299,0.0,0
2.280653953552246,0.0,0
2.3006601333618164,0.0,0
2.324763059616089,0.0,0
2.340703010559082,0.0,0
2.3606390953063965,0.0,0
2.3806259632110596,0.0,0
2.4006400108337402,0.0,0
2.4206459522247314,0.0,0
2.4406211376190186,0.0,0
2.4605929851531982,0.0,0
2.482293128967285,0.0,0
2.5007541179656982,0.0,0
2.5206921100616455,0.0,0
2.5406579971313477,0.0,0
2.5607850551605225,0.0,0
2.580785036087036,0.0,0
2.600709915161133,0.0,0
2.6206820011138916,0.0,0
2.6406431198120117,0.0,0
2.6606380939483643,0.0,0
2.6806321144104004,0.0,0
2.7006750106811523,0.0,0
2.720677137374878,0.0,0
2.740628957748413,0.0,0
2.7606310844421387,0.0,0
2.780643939971924,0.0,0
2.8006839752197266,0.0,0
2.820662021636963,0.0,0
2.8405990600585938,0.0,0
2.8623321056365967,0.0,0
2.881174087524414,0.0,0
2.9006619453430176,0.0,0
2.9206900596618652,0.0,0
2.9406700134277344,0.0,0
2.960624933242798,0.0,0
2.9807770252227783,0.0,0
3.00075101852417,0.0,0
3.0207009315490723,0.0,0
3.0406229496002197,0.0,0
3.060616970062256,0.0,0
3.080610990524292,0.0,0
3.1006550788879395,0.0,0
3.120652914047241,0.0,0
3.1405999660491943,0.0,0
3.1605849266052246,0.0,0
3.1806321144104004,0.0,0
3.200695037841797,0.0,0
3.22065806388855,0.0,0
3.2406020164489746,0.0,0
3.260586977005005,0.0,0
3.2806010246276855,0.0,0
3.3006529808044434,0.0,0
3.3206539154052734,0.0,0
3.3406031131744385,0.0,0
3.3605921268463135,0.0,0
3.3806021213531494,0.0,0
3.4006359577178955,0.0,0
3.420673131942749,0.0,0
3.440606117248535,0.0,0
3.460585117340088,0.0,0
3.4807610511779785,0.0,0
3.500704050064087,0.0,0
3.52067494392395,0.0,0
3.540602922439575,0.0,0
3.56083607673645,0.0,0
3.580780029296875,0.0,0
3.6006879806518555,0.0,0
3.6206741333007812,0.0,0
3.6406350135803223,0.0,0
3.6606080532073975,0.0,0
3.680596113204956,0.0,0
3.7006380558013916,0.0,0
3.7209160327911377,0.0,0
3.740596055984497,0.0,0
3.760615110397339,0.0,0
3.7806100845336914,0.0,0
3.8006579875946045,0.0,0
3.8206489086151123,0.0,0
3.8409130573272705,0.0,0
3.8606529235839844,0.0,0
3.880617141723633,0.0,0
3.9006400108337402,0.0,0
3.9206600189208984,0.0,0
3.940627098083496,0.0,0
3.960745096206665,0.0,0
3.9807369709014893,0.0,0
4.0008111000061035,0.0,0
4.020748138427734,0.0,0
4.040770053863525,0.0,0
4.060650110244751,0.0,0
4.080765962600708,0.0,0
4.100660085678101,0.0,0
4.120645046234131,0.0,0
4.140650033950806,0.0,0
4.160629987716675,0.0,0
4.1806960105896,0.0,0
4.200698137283325,0.0,0
4.220660924911499,0.0,0
4.240679979324341,0.0,0
4.260673999786377,0.0,0
4.28068208694458,0.0,0
4.300710916519165,0.0,0
4.320739984512329,0.0,0
4.34069299697876,0.0,0
4.36060094833374,0.0,0
4.3806281089782715,0.0,0
4.400690078735352,0.0,0
4.420639991760254,0.0,0
4.4406211376190186,0.0,0
4.460647106170654,0.0,0
4.480694055557251,0.0,0
4.50076699256897,0.0,0
4.5207130908966064,0.0,0
4.540691137313843,0.0,0
4.561110019683838,0.0,0
4.584088087081909,0.0,0
4.600661039352417,0.0,0
4.620697021484375,0.0,0
4.640703916549683,0.0,0
4.660630941390991,0.0,0
4.680755138397217,0.0,0
4.700736999511719,0.0,0
4.720715045928955,0.0,0
4.7406251430511475,0.0,0
4.760586977005005,0.0,0
4.780623912811279,0.0,0
4.800713062286377,0.0,0
4.82069206237793,0.0,0
4.840682029724121,0.0,0
4.860661029815674,0.0,0
4.880657911300659,0.0,0
4.900742053985596,0.0,0
4.920696020126343,0.0,0
4.940654039382935,0.0,0
4.960613012313843,0.0,0
4.985371112823486,0.0,0
5.000773906707764,0.0,0
5.020761013031006,0.0,0
5.040664911270142,0.0,0
5.0606849193573,0.0,0
5.080748081207275,0.0,0
5.100688934326172,0.0,0
5.120636940002441,0.0,0
5.140615940093994,0.0,0
5.160592079162598,0.0,0
5.180588960647583,0.0,0
5.200711011886597,0.0,0
5.220752000808716,0.0,0
5.240628957748413,0.0,0
5.260631084442139,0.0,0
5.280713081359863,0.0,0
5.300724029541016,0.0,0
5.320711135864258,0.0,0
5.3406291007995605,0.0,0
5.360633134841919,0.0,0
5.380679130554199,0.0,0
5.400710105895996,0.0,0
5.420687913894653,0.0,0
5.440685987472534,0.0,0
5.460669994354248,0.0,0
5.486702919006348,0.0,0
5.500770092010498,0.0,0
5.520740985870361,0.0,0
5.5406880378723145,0.0,0
5.560751914978027,0.0,0
5.580766916275024,0.0,0
5.601383924484253,0.0,0
5.6207051277160645,0.0,0
5.64067006111145,0.0,0
5.660639047622681,0.0,0
5.680625915527344,0.0,0
5.700716018676758,0.0,0
5.720716953277588,0.0,0
5.740633010864258,0.0,0
5.760611057281494,0.0,0
5.780626058578491,0.0,0
5.8007049560546875,0.0,0
5.8206329345703125,0.0,0
5.840667009353638,0.0,0
5.8607001304626465,0.0,0
5.880780935287476,0.0,0
5.9007251262664795,0.0,0
5.920673131942749,0.0,0
5.940629005432129,0.0,0
5.960632085800171,0.0,0
5.988177061080933,0.0,0
6.000808000564575,0.0,0
6.0206451416015625,0.0,0
6.040621995925903,0.0,0
6.06059193611145,0.0,0
6.080579042434692,0.0,0
6.100644111633301,0.0,0
6.120659112930298,0.0,0
6.140705108642578,0.0,0
6.160614967346191,0.0,0
6.1806089878082275,0.0,0
6.200664043426514,0.0,0
6.2206809520721436,0.0,0
6.240679025650024,0.0,0
6.2606470584869385,0.0,0
6.28062891960144,0.0,0
6.300678014755249,0.0,0
6.320630073547363,0.0,0
6.340627908706665,0.0,0
6.360641956329346,0.0,0
6.380686044692993,0.0,0
6.400667905807495,0.0,0
6.420629978179932,0.0,0
6.440614938735962,0.0,0
6.46059513092041,0.0,0
6.489278078079224,0.0,0
6.500667095184326,0.0,0
6.520669937133789,0.0,0
6.540666103363037,0.0,0
6.561990976333618,0.0,0
6.580765962600708,0.0,0
6.6006760597229,0.0,0
6.620696067810059,0.0,0
6.640681982040405,0.0,0
6.660682916641235,0.0,0
6.68061900138855,0.0,0
6.700640916824341,0.0,0
6.7207419872283936,0.0,0
6.740703105926514,0.0,0
6.7606799602508545,0.0,0
6.780920028686523,0.0,0
6.80071496963501,0.0,0
6.820702075958252,0.0,0
6.840692043304443,0.0,0
6.860642910003662,0.0,0
