time (s),speed (mm/s),duty cycle (%)
4.792213439941406e-05,0.0,0
0.005272865295410156,122.3413956563056,0
0.007288932800292969,0.0,0
0.05647778511047363,0.0,0
0.10668277740478516,0.0,0
0.15648388862609863,0.0,0
0.20649194717407227,0.0,0
0.2565648555755615,0.0,0
0.3064308166503906,0.0,0
0.3563978672027588,0.0,0
0.4063987731933594,0.0,0
0.4564638137817383,0.0,0
0.5064308643341064,0.0,0
0.5564677715301514,0.0,0
0.6064388751983643,0.0,0
0.6564309597015381,0.0,0
0.7064518928527832,0.0,0
0.7564489841461182,0.0,0
0.8064889907836914,0.0,0
0.8566529750823975,0.0,0
0.9065778255462646,0.0,0
0.9564697742462158,0.0,0
1.006605863571167,0.0,0
1.056609869003296,0.0,0
1.1064519882202148,0.0,0
1.1564698219299316,0.0,0
1.2064599990844727,0.0,0
1.2564988136291504,0.0,0
1.3065428733825684,0.0,0
1.3565027713775635,0.0,0
1.4064359664916992,0.0,0
1.4564869403839111,0.0,0
1.50642991065979,0.0,0
1.5564799308776855,0.0,0
1.6064469814300537,0.0,0
1.656437873840332,0.0,0
1.7064549922943115,0.0,0
1.7564849853515625,0.0,0
1.806555986404419,0.0,0
1.8564817905426025,0.0,0
1.9064347743988037,0.0,0
1.9564929008483887,0.0,0
2.006431818008423,0.0,0
2.0564849376678467,0.0,0
2.1064369678497314,0.0,0
2.1564137935638428,0.0,0
2.206399917602539,0.0,0
2.256415843963623,0.0,0
2.306421995162964,0.0,0
2.356451988220215,0.0,0
2.4064199924468994,0.0,0
2.456439971923828,0.0,0
2.506417989730835,0.0,0
2.5564558506011963,0.0,0
2.6064507961273193,0.0,0
2.6564769744873047,0.0,0
2.7064578533172607,0.0,0
2.7564618587493896,0.0,0
2.806421995162964,0.0,0
2.8565258979797363,0.0,0
2.906435966491699,0.0,0
2.9564738273620605,0.0,0
3.0064449310302734,0.0,0
3.056405782699585,0.0,0
3.106395959854126,0.0,0
3.1563899517059326,0.0,0
3.2064437866210938,0.0,0
3.2564079761505127,0.0,0
3.306442975997925,0.0,0
3.356522798538208,0.0,0
3.4064388275146484,0.0,0
3.4564738273620605,0.0,0
3.506443977355957,0.0,0
3.5564568042755127,0.0,0
3.6064419746398926,0.0,0
3.6563708782196045,0.0,0
3.7064099311828613,0.0,0
3.7564618587493896,0.0,0
3.806414842605591,0.0,0
3.856531858444214,0.0,0
3.906566858291626,0.0,0
3.9564948081970215,0.0,0
4.00644588470459,0.0,0
4.056441783905029,0.0,0
4.1064348220825195,0.0,0
4.156486988067627,0.0,0
4.206442832946777,0.0,0
4.2571728229522705,0.0,0
4.306419849395752,0.0,0
4.356583833694458,0.0,0
4.406409978866577,0.0,0
4.456493854522705,0.0,0
4.5064377784729,0.0,0
4.5563859939575195,0.0,0
4.606438875198364,0.0,0
4.656400918960571,0.0,0
4.706448793411255,0.0,0
4.756494998931885,0.0,0
